,Brand,ProductDescription,ProductRating,ProductSpecList,Q&ACount,RatingCount,product_id,product_url
0,Hwipure,"Description
Made in Korea
KF94 Protection Mask
94% Filtration of Harmful & Infectious Sources Comfortable and Breathable
Feature
4 Layer Ultra Static Filter - Helps provide effective protection against respiratory infections and related diseases.
Comfortable, non-irritating material - Skin irritation test for the inner part of the mask was performed and completed.
Ergonomic design: Excellent fit to face contour Designed with 3D structure for ease of breathing.
Suggested Use

Other Ingredients
Non-woven fabric, mb filter, plastic sheath wire, nylon strap.
Warnings
Precaution for Use
Do not place any objects such as towel, tissue, etc. inside of the mask. 
Do not use if the inside of the mask is contaminated.
Do not wash or reuse.
Do not touch the surface of the mask after wearing.
If experiencing discomfort of difficulty breathing, stop using and consult a doctor.
Storage: In a sealed pack, temperature 1~30ºC
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,,3 & 18,384 Ratings,103205,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/103205
1,HIGUARD,"Description
Made In Korea
Disinfection KF94 Mask
This is a FDA registered disposable KF94 mask that has comparable performance of filtration like N95. This is a Korean standard respiratory protecting face piece. It is specifically designed as 3D flat-fold (also referred as fish-shaped) to provide wearer with comfort and more space to breathe. When properly used, this product will filter at least 94% of PM2.5 airborne particles to protect the wearer from exposure to harmful air pollutants. Safely secure the mask with the nose wire by positioning to the shape of your nose. The adjusted metallic strip will help prevent the wearers glasses from fogging up.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,"Expiration Date:? November 2023
Date First Available: August 2020
Shipping Weight:? 0.01 kg
Product Code: HIG-84505
UPC Code: 8809434845056
Package Quantity: 1 Count
Dimensions: 25.4 x 11.4 x 0.3 cm , 0.01 kg
Please Note:
-According to a comparison chart by 3M, KN94 (Korea 1st Class) masks are the Korean equivalent of N95, KN95 and FFP2 Masks. ",3 & 10,318 Ratings,101774,https://au.iherb.com/pr/HIGUARD-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/101774
2,SunJoy,"Description
Made in China
Medical Use Prohibited
Professional Protective Mask against PM2.5 Haze and Tiny Particles
≥95% Filtration Efficiency Smooth Breathing
For Both Men and Women
Smog and Particulate Mater 2.5 Protection
Self-Priming Filtered Type Mask KN95 (Disposable)
Contraindication: None
Tight fit, polluted air proof, adjustable nose clip, suitable for different face types.

Self suction filter particle respirator, disposable respirator without exhalation valve, new generation of filter cotton material, reducing respiratory resistance and improving comfort.

The branding, ventilation and stitching around the edges and nose clip of this mask differ from the version previously authenticated by the CDC's NPPTL COVID-19 Response: International Respirator Assessment. The CDC notes the samples it tested ""may or may not be representative of a larger lot or population of similar respirators."" Comparable Sunjoy K1 KN95 masks have been found by the CDC to have a 99% filtration rate.
Suggested Use
Wearing instructions:
Open the package. Take out the mask. And open it.
Place the nose clip on top of the mask. Hold the mask against your chin
Tie the ear strap behind the ear. Adjust the position. Feel as comfortable as possible
Press the clip from the nose to the sides and make the clip close to the nose and face
Positive pressure test: gently press the mask with both hands, and then deliberately exhale. The air should not leak form the edge of the mask.

Negative pressure test: gently press the mask with both hands, and then deliberately inhale. The center of the mask should be slightly concave.

In case of air leakage, please adjust the position of nose clip and ear band until there is no more leakage.

Range of application and uses:

This product can be used for respiration the protection of some non-oily particulate, such as dust, pollen, all kinds of industrial dust and so on. It can be the basic protection of the PM 2.5 which is the environmental pollution particulate matter.

Instructions: Put the mask to your nose and make it around the face.

Other Ingredients
Product features, structure and composition: This product is made of the mask, nose clip, and masks band. The first/ forth layers are PP non-woven fabrics. The second layer is PP meltblown woven fabrics. The third layer is PP hot cotton.
Warnings
Notice:
This product is valid for three years, please use it within the duration.
This product is not reusable, please dispose it after use.
If the package of the product is damaged, please do not use it.
Please use it carefully if you are allergic to non-woven fabrics.
Please read the instructions carefully before using this product.
Special storage condition and method: Please store it in the environment where the relative humidity is less than 80%, has no corrosive gases and has good ventilation. Please keep it away from sunlight.

Validity: This product is validity for three years with proper storage.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? January 2024
Date First Available: August 2020
Shipping Weight:? 0.37 kg
Product Code: SJY-01869
UPC Code: 898220018697
Package Quantity: 10 Count
Dimensions: 24.6 x 17.8 x 4.3 cm , 0.07 kg
According to a comparison chart by 3M, KN95 masks are the Chinese equivalent of N95.",10 & 58,995 Ratings,101955,https://au.iherb.com/pr/SunJoy-KN95-Professional-Protective-Disposable-Face-Mask-10-Pack/101955
3,Lozperi,"Description
Made in Korea
Made with Copper Infused Fabric 
Copper is Scientifically-Proven to be Anti-Microbial Bacteria 
UV Protection 
Antibacterial 
Droplet Protection
Reusable 
Odor Free 
Comfort Fit 
Our masks are made with multiple layers of high density fibers and a copper infused fiber filter that has been lab-tested in Korea to have antimicrobial properties. We offer maximum comfort through our innovative design, and additional coverage against dust and harmful particles. 
Suggested Use
Orient the mask vertically, check that top part comes on top, then open horizontally. 
Pull the ear straps back over both ears. 
Press down lightly on the mask to mask sure it fits without any gaps. 
Other Ingredients

Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,,9 & 29,317 Ratings,103838,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Black-1-Mask/103838
4,Zidian,"Description
Made in China
Effectively Block Droplets, Catkins, Dust and Pollen 
3-Layer Filtration 
Good Air Permeability 
Suggested Use
Wearing Masks Correctly, Contributing to Healthy Travel!
The side of the mask with the nose clip is the top side and the side with the ear loops is the outside. Fold the mask inward and press the fold of the nose clip. 
Hang the ear loops at both ends on the ears. 
After fixing the nose clip on the bridge of the nose, pull the lower end of the mask downward to over the chin. 
As shown in the picture, press the nose clip to fit the bridge of nose and cheeks to ensure the sealing performance of the mask. 
Instructions and Application Scope:

It is mainly used to filter the particles in the air pollution environment in daily life, and it is disposable (recommended use time: 4 hours). This product can not be used in fever clinics, isolation wards, isolation observation wards, operating rooms, isolation ICU and other areas. 
Other Ingredients
Main materials: 30% meltdown fabric, 70% non-woven fabric.
Warnings
Recommended storage condition: A well ventilated clean room with humidity ≤ 80% (RH) and free of corrosive gas.
Do not use it in an environment with oxygen deficiency, toxic gas or serious pollution. 
This product is disposable and cannot be washed. It is recommended to use it for no more than 4 hours. 
Due to their low vital capacity, children under the age of three are forbidden to use the product. 
Do not use the product if the inner package is damaged. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.7,"Expiration Date:? January 2025
Date First Available: October 2020
Shipping Weight:? 0.41 kg
Product Code: ZID-01895
UPC Code: 898220018956
Package Quantity: 50 Count
Dimensions: 18.8 x 11.2 x 9.9 cm , 0.19 kg",7 & 48,564 Ratings,102734,https://au.iherb.com/pr/Zidian-Disposable-Protective-Mask-50-Pack/102734
5,La Hauteur,"Description
Made in Korea
This is a disposable KF94 mask that has comparable performance of filtration like N95. This is a Korean standard respiratory protecting face piece. It is specifically designed as 3D flat-fold (also referred as fish-shaped) to provide wearer with comfort and more space to breathe. When properly used, this product will filter at least 94% of PM2.5 airborne particles to protect the wearer from exposure to harmful air pollutants. Safely secure the mask with the nose wire by positioning to the shape of your nose. The adjusted metallic strip will help prevent the wearer's glasses from fogging up.
Other Ingredients
Non-woven fabric (outer layer, lining, filter), steel wire (nose bridge), nylon wire (earloop).
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? January 2025
Date First Available: June 2020
Shipping Weight:? 0.03 kg
Product Code: LAH-29000
UPC Code: 8809706290003
Package Quantity: 1 Count
Dimensions: 22.4 x 10.4 x 0 cm , 0.02 kg
According to a comparison chart by 3M, KN94 (Korea 1st Class) masks are the Korean equivalent of N95, KN95 and FFP2 Masks.",8 & 25,303 Ratings,100837,https://au.iherb.com/pr/La-Hauteur-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100837
6,YJ Corporation,"Description
Made in Korea
Small KF94 mask with particle filtration offers a comfortable fit for kids (around age of 4-10). This is a disposable KF94 mask that has comparable performance of filtration like N95. This is a Korean standard respiratory protecting face piece. It is specifically designed as 3D flat-fold (also referred as fish-shaped) to provide wearer with comfort and more space to breathe. When properly used, this product will filter at least 94% of PM2.5 airborne particles to protect the wearer from exposure to harmful air pollutants. Safely secure the mask with the nose wire by positioning to the shape of your nose. The adjusted metallic strip will help prevent the wearer's glasses from fogging up.
Other Ingredients
Non-woven fabric (outer layer, lining, filter), steel wire (nose bridge), nylon wire (earloop).
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,"Expiration Date:? January 2023
Date First Available: June 2020
Shipping Weight:? 0.05 kg
Product Code: YJC-40126
UPC Code: 8809444401266
Package Quantity: 1 Count
Dimensions: 16.5 x 10.9 x 1.3 cm , 0.01 kg
Please Note:
-According to a comparison chart by 3M, KN94 (Korea 1st Class) masks are the Korean equivalent of N95, KN95 and FFP2 Masks. ",1 & 5,95 Ratings,100840,https://au.iherb.com/pr/YJ-Corporation-Disposable-KF94-Mask-for-Kids-1-Mask/100840
7,Hwipure,"Description
Made in Korea
KF94 Protection Face Mask
94% Filtration of Harmful & Infectious Sources 
Comfortable and Breathable 
Feature
4 Layer Ultra Static Filter 
Helps provide effective protection against respiratory infections and related diseases. 
Comfortable, non-irritating material 
Skin irritation test for the inner part of the mask was performed and completed.
Ergonomic design: Excellent fit to face contour
Designed with 3D structure for ease of breathing
Suggested Use
Safely secure the mask with the nose wire by positioning to the shape of your nose. The adjusted metallic strip will help prevent the wearers glasses from fogging up.
Other Ingredients
Non-woven fabric, mb filter, plastic sheath wire, nylon strap.
Warnings
Precautions for use:
Do not place any objects such as towel, tissues, etc. inside of the mask.
Do not use if the inside of the mask is contaminated.
Do not wash or reuse.
Do not touch the surface of the mask after wearing.
If experiencing discomfort or difficulty breathing, stop using and consult a doctor. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,,3 & 18,384 Ratings,103204,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-25-Masks/103204
8,Lozperi,"Description
Made in Korea
Made with Copper Infused Fabric 
Copper is Scientifically-Proven to be Anti-Microbial Bacteria 
UV Protection 
Antibacterial 
Droplet Protection
Reusable 
Odor Free 
Comfort Fit 
Our masks are made with multiple layers of high density fibers and a copper infused fiber filter that has been lab-tested in Korea to have antimicrobial properties. We offer maximum comfort through our innovative design, and additional coverage against dust and harmful particles. 
Suggested Use
Orient the mask vertically, check that top part comes on top, then open horizontally. 
Pull the ear straps back over both ears. 
Press down lightly on the mask to mask sure it fits without any gaps. 
Other Ingredients

Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,,9 & 29,139 Ratings,103840,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Gray-1-Mask/103840
9,Puritas,"Description
Made in Korea
Protect Yourself
More than 10 Days Reusable
Fight Covid-19
Breathing Improvement 
High Nose U-Shape Maximum Inner Space 
Comfortable Breathing 
Respiratory Resistance 80% Reduce 
USA EPA Certificate 
Industry's First EPA Certified Sterilized Fabric 
Various Pathogen Sterilization and Safety Verification 
L-Size for Adult 
220 mm x 85 mm
Triple Protection Fight Covid-19
Antimicrobial layer
Blocking layer
Antimicrobial layer
Suggested Use
The metal strip part is facing up, the side without metal strip is facing the face, and the ear bands are pulled on each hand;
Face the mask against the chin first, and pull the ear band back to the ear and hang it on the ear; 
Place the fingers of both hand in the middle of metal strip and press inwardly according to the shape of the nose bridge to conform to the shape of the nose bridge; 
Wear mask up to the top of nose and under chin; check the tightness with your face and without gaps. 
Other Ingredients
Made with non-woven fabric (inner/outer: antimicrobial polypropylene, filter: polypropylene).  
Warnings
Matters Needing Attention 
Wash hands before putting on and taking off the mask. 
Do not touch the face part of the mask once it has been put on. 
This product is not washable. 
Replace the mask if it gets damaged by friction or impact. 
Store in a dry, ventilated place and stay away from fire and flammable materials.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,"Expiration Date:? January 2025
Date First Available: December 2020
Shipping Weight:? 0.11 kg
Product Code: PRI-07309
UPC Code: 8809990073092
Package Quantity: 3 Count
Dimensions: 27.1 x 11.4 x 1.8 cm , 0.02 kg",1 & 3,140 Ratings,103743,https://au.iherb.com/pr/Puritas-10-Days-Mask-Large-3-Pack/103743
10,Dr. Puri,"Description
Made in Korea by KM Corporation
KF94 Micro-Dust Protection Mask
PFE 94%
Bendable Nose Wire Clip Prevents Slipping Down 
3D Design Provides a Comfortable Fit and Does Not Touch Mouth When Worn 
Used 4 Layers of Nonwoven Filter with Meltblown
Efficacy effect: Protects the respiratory system from particulate matters such as fine dust and sources of infection.
Suggested Use
How to wear:
Make sure the area in contact with the respiratory system is clean
Unfold it with the nose wire attached on top and wear it so that it covers your nose and mouth.
Hang the ear bands on both your ears and fix the position. 
Press a nose wire at the end for more efficient use. 
Other Ingredients
Materials: Non-woven, aluminum (nose clip), polyurethane (earband). 
Warnings
Do not insert towel, tissue between a mask and your face. 
Do not use if inside of the mask is contaminated. 
Do not wash and reuse. 
Do not crush or deform the mask. 
Do not touch a surface of the mask after wearing. 
This product is not flame resistant and must not be used in areas with open flames.

Storage: Store at room temperature. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? June 2023
Date First Available: October 2020
Shipping Weight:? 0.78 kg
Product Code: DPR-97074
UPC Code: 8809525970742
Package Quantity: 20 Count
Dimensions: 29.7 x 12.4 x 10.7 cm , 0.3 kg
Please Note:
-According to a comparison chart by 3M, KN94 (Korea 1st Class) masks are the Korean equivalent of N95, KN95 and FFP2 Masks.   ",0 & 0,75 Ratings,102522,https://au.iherb.com/pr/Dr-Puri-Disposable-KF94-N95-KN95-FFP2-Mask-20-Masks/102522
11,Lozperi,"Description
Made in Korea
Made with Copper Infused Fabric
Copper is Scientifically-Proven To Be Anti-Microbial Bacteria
UV Protection
Antibacterial
Droplet Protection
Reusable
Odor Free
Comfort Fit
Our masks are made with multiple layers of high density fibers and a copper infused fiber filter that has been lab-tested in Korea to have antimicrobial properties. We offer maximum comfort through our innovative design, and additional coverage against dust and harmful particles.
Suggested Use
Orient the mask vertically, check that top part comes on top, then open horizontally.
Pull the ear straps back over both ears.
Press down lightly on the mask to mask sure it fits without any gaps.
Other Ingredients

Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.7,,9 & 29,98 Ratings,103839,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Dot-1-Count/103839
