,Brand,ProductDescription,ProductRating,ProductSpecList,Q&ACount,RatingCount,product_id,product_url
12,Kosette,"Description
Made in China
Non-Medical 
5 layer, carbon filters to use with reusable face masks. Protects against dust, pollution, and other smoke, and other airborne particles.
Suggested Use
Insert the PM 2.5 filler into the inner pocket of your mask. 
Wear your mask, and adjust accordingly for a comfortable fit. 
Depending on air quality and wear time, change daily, or with every 2-3 uses. 
Stretch Mask.             
Insert the PM 2.5 filter into the inner pocket of your mask.
Other Ingredients
Materials: 40% non-woven fabric + 40% melt blown fabric + 20% activated carbon fabric.
Warnings
Not for medical use. 
Keep out of the reach of children. 
Do not wash.
Do not use if contaminated. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? January 2024
Date First Available: January 2021
Shipping Weight:? 0.07 kg
Product Code: IMI-21053
UPC Code: 8809705210538
Package Quantity: 24 Count
Dimensions: 1.3 x 15.2 x 17.8 cm , 0.04 kg",1 & 1,21 Ratings,104023,https://au.iherb.com/pr/Kosette-PM-2-5-Replaceable-Filter-24-Filters/104023
13,Kitsch,"Description
Made in China
Designed in Los Angeles
Elevated Versions of Your Everyday Basics
100% Vegan
Cruelty Free
Single layered cotton mask, washable & reusable, space for chin & nose, comfortable & easy to wear, and 3pc pack.

Benefits
Soft cotton material
Washable & reusable
Comfortable & easy to wear
One size fits most
Suggested Use
How to Use:
Hold mask by ear-loops with printed side facing out
Place mask over nose & mouth & place one ear loop around the back of each ear
Pull bottom of mask under chin &  the top over the bridge of the nose
Wash  & sterilize the mask after each use
Care Instructions: 

This mask is not a replacement for PPE mask. Wash this mark after each use in a washing machine or with hot water and soap. For best practices, please follow the CDC guidelines.
Other Ingredients
Material Composition: 100% Cotton.
Warnings
Choking hazard. This product/packaging is not a toy. To avoid danger of suffocation, keep it away from babies & small children. Do not place it in cribs, beds, carriages or playpens.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,"Expiration Date:? January 2025
Date First Available: August 2020
Shipping Weight:? 0.21 kg
Product Code: KTC-02519
UPC Code: 819677025199
Package Quantity: 3 Count
Dimensions: 22.6 x 11.7 x 4.1 cm , 0.05 kg",2 & 6,358 Ratings,101692,https://au.iherb.com/pr/Kitsch-100-Cotton-Reusable-Face-Masks-Neutral-3-Pack/101692
14,One Fine Day,"Description
Made in Korea
This is a disposable KF94 mask that has comparable performance of filtration like N95. This is a Korean standard respiratory protecting face piece. It is specifically designed as 3D flat-fold (also referred as fish-shaped) to provide wearer with comfort and more space to breathe. When properly used, this product will filter at least 94% of PM2.5 airborne particles to protect the wearer from exposure to harmful air pollutants. Safely secure the mask with the nose wire by positioning to the shape of your nose. The adjusted metallic strip will help prevent the wearer's glasses from fogging up.
Other Ingredients
Non-woven fabric (outer layer, lining, filter), steel wire (nose bridge), nylon wire (earloop).
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.3,"Expiration Date:? January 2025
Date First Available: June 2020
Shipping Weight:? 0.03 kg
Product Code: OFD-29564
UPC Code: 8809321295643
Package Quantity: 1 Count
Dimensions: 20.3 x 7.9 x 1 cm , 0.01 kg
Please Note:
-According to a comparison chart by 3M, KN94 (Korea 1st Class) masks are the Korean equivalent of N95, KN95 and FFP2 Masks. ",0 & 0,41 Ratings,100839,https://au.iherb.com/pr/One-Fine-Day-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100839
15,Kitsch,"Description
Made in China
Elevated Version of Your Everyday Basics
100% Vegan
Cruelty Free
Designed in Los Angeles
Benefits
Soft cotton material
Washable  & reusable
Comfortable & easy to wear
One  size fits most
Suggested Use
How to Use:
Hold mask by ear-loops with printed side facing out
Place mask over nose & mouth & place one ear loop around the back of each ear
Pull bottom of mask under chin &  top over the bridge of the nose
Wash  & sterilize the mask after each use
Care Instructions: 

This mask is not a replacement for PPE mask. Wash this mark after each use in a washing machine or with hot water and soap. For best practices, please follow the CDC guidelines.
Other Ingredients
Material Composition: 100% Cotton.
Warnings
This product/packaging is not a toy. To avoid danger of suffocation, keep it away from babies& small children. Do not place it in cribs, beds, carriages or playpens.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.2,"Expiration Date:? January 2025
Date First Available: June 2020
Shipping Weight:? 0.18 kg
Product Code: KTC-02521
UPC Code: 819677025212
Package Quantity: 3 Count
Dimensions: 22.9 x 11.4 x 3.6 cm , 0.05 kg",4 & 23,665 Ratings,100237,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Leopard-3-Pack/100237
16,Lozperi,"Description
Made in Korea
Made with Copper Infused Fabric 
Copper is Scientifically-Proven to be Anti-Microbial Bacteria 
UV Protection 
Antibacterial 
Droplet Protection
Reusable 
Odor Free 
Comfort Fit 
Our masks are made with multiple layers of high density fibers and a copper infused fiber filter that has been lab-tested in Korea to have antimicrobial properties. We offer maximum comfort through our innovative design, and additional coverage against dust and harmful particles. 
Suggested Use
Orient the mask vertically, check that top part comes on top, then open horizontally. 
Pull the ear straps back over both ears. 
Press down lightly on the mask to mask sure it fits without any gaps. 
Other Ingredients

Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.4,,0 & 0,35 Ratings,103841,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Black-1-Mask/103841
17,Kosette,"Description
Made in Korea
Reusable + Nano Filter + Easy Breathing
Anti Bacterial Care Pouch
Nano Filter Mask protects against bacteria and dust while featuring adjustable functions for a secure comfortable fit.
Protection Nano Mask
Inner Layer - Soft mesh pattern that causes no irritation against the skin
Outer Layer - Comfortable breathing space between 3 layers of mesh and nano filter
3D Shape - Designed with special technology to comfortably fit against the face line
Chin Guard - For a secure and comfortable fit
Stopper - Convenient for adjustment
3-In-1 Protection System - Mesh/Nano Filleter/Mesh
Nano filter - Measuring 0.5 µm, protects against particles like bacteria, dust, and germs.
Mesh - Soft feeling, excellent durability, and protects against UV.
Compare Sizes to Nano Filter
Hair 50~70µm > Pollen 10~30µm > Fine Dust 10µm > Bacteria 3~10µm > Micro Dust 2.5µm > Cigarette Smoke 0.7µm > Nano Filter 0.5µm
Reusable for 3-6 months depending on care and air quality conditions.
Suggested Use
How to wash
With every 2-3 uses, soak mask in water and neutral detergent.
Lightly shake in running water to rinse. Do not rub fabric.
Use a dry towel to press excess water out of fabric. Do not wring dry.
Air dry.
Hand Wash Normal - 86°F 
Do not Bleach 
Do no Iron 
Do not Tumble Dry 
Do not Wing
Other Ingredients
Outer - 100% polyester
Inner1 - 99% pet, 1% pvdf
Inner2 - 100% polyester
Warnings
Do not bleach.
Do not boil.
Do not use in tight space areas.
Do not layer mask with excess fabric.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? January 2025
Date First Available: April 2020
Shipping Weight:? 0.1 kg
Product Code: IMI-21014
UPC Code: 8809705210149
Package Quantity: 1 Count
Dimensions: 13.5 x 12.7 x 3 cm , 0.04 kg",17 & 84,557 Ratings,99830,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Medium-1-Mask/99830
18,Kosette,"Description
Made in China
Care Fashion Mask
Non-Medical
Reusable fashion face mask designed with inner filter pocket to place replaceable filter for maximum protection against dust, pollution, and other airborne particles. 
Key Features: Washable / Reusable / Comfortable / Easy to Wear / One Size Fits Most / Filter Pocket for Replaceable Filters 
Suggested Use
Place the mask over your nose and use the ear loops to secure the mask on your face. 
Insert replaceable filter (sold separately) inside inner pocket of mask if needed.
Adjust the fit of the mask and make sure it's tight and secure. 
How to Wash
With each use, hand wash in warm water or machine warm in laundry bag. Do not use fabric softener. 
Air dry or tumble dry low. 
Do not bleach. 
Do not iron. 
Other Ingredients
Materials: Body 100% cotton, lining 92% polyester, 8% spandex.

Warnings
This product is not a medical mask or a personal protective equipment (PPE). 
This product makes no claim of antimicrobial protection, antiviral protection, infection protection, or reduction. 
Choking hazard - Small parts. Not to be used by children under age 4. 
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.4,"Expiration Date:? January 2025
Date First Available: January 2021
Shipping Weight:? 0.07 kg
Product Code: IMI-21052
UPC Code: 8809705210521
Package Quantity: 3 Count
Dimensions: 17.8 x 15.2 x 1.3 cm , 0.04 kg",0 & 0,32 Ratings,104022,https://au.iherb.com/pr/Kosette-Fashion-Mask-with-Filter-Pocket-3-Masks/104022
19,Kosette,"Description
Made in Korea
Reusable + Nano Filter + Easy Breathing
Anti Bacterial Care Pouch
Nano Filter Mask protects against bacteria and dust while featuring adjustable functions for a secure comfortable fit.
Protection Nano Mask
Inner Layer - Soft mesh pattern that causes no irritation against the skin
Outer Layer - Comfortable breathing space between 3 layers of mesh and nano filter
3D Shape - Designed with special technology to comfortably fit against the face line
Chin Guard - For a secure and comfortable fit
Stopper - Convenient for adjustment
3-In-1 Protection System - Mesh/Nano Filleter/Mesh
Nano filter - Measuring 0.5 µm, protects against particles like bacteria, dust, and germs.
Mesh - Soft feeling, excellent durability, and protects against UV.
Compare Sizes to Nano Filter
Hair 50~70µm > Pollen 10~30µm > Fine Dust 10µm > Bacteria 3~10µm > Micro Dust 2.5µm > Cigarette Smoke 0.7µm > Nano Filter 0.5µm
Reusable for 3-6 months depending on care and air quality conditions.
Suggested Use
How to wash
With every 2-3 uses, soak mask in water and neutral detergent.
Lightly shake in running water to rinse. Do not rub fabric.
Use a dry towel to press excess water out of fabric. Do not wring dry.
Air dry.
Hand Wash Normal - 86°F 
Do not Bleach 
Do no Iron 
Do not Tumble Dry 
Do not Wring
Other Ingredients
Outer - 100% polyester
Inner1 - 99% pet, 1% pvdf
Inner2 - 100% polyester
Warnings
Do not bleach.
Do not boil.
Do not use in tight space areas.
Do not layer mask with excess fabric.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.6,"Expiration Date:? January 2025
Date First Available: April 2020
Shipping Weight:? 0.1 kg
Product Code: IMI-21015
UPC Code: 8809705210156
Package Quantity: 1 Count
Dimensions: 13.5 x 12.7 x 3 cm , 0.05 kg",8 & 25,362 Ratings,99829,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Large-1-Mask/99829
20,Lozperi,"Description
Made in Korea
Made with Copper Infused Fabric 
Copper is Scientifically-Proven To Be Anti-Microbial Bacteria 
UV Protection 
Antibacterial 
Droplet Protection
Reusable 
Odor Free 
Comfort Fit 
Our masks are made with multiple layers of high density fibers and a copper infused fiber filter that has been lab-tested in Korea to have antimicrobial properties. We offer maximum comfort through our innovative design, and additional coverage against dust and harmful particles. 
Suggested Use
Orient the mask vertically, check that top part comes on top, then open horizontally. 
Pull the ear straps back over both ears. 
Press down lightly on the mask to mask sure it fits without any gaps. 
Other Ingredients

Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.7,,0 & 0,29 Ratings,103842,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Gray-1-Count/103842
21,Now Foods,"Description
Made in USA 
Other Ingredients
100% organic cotton.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.2,"Expiration Date:? January 2025
Date First Available: October 2020
Shipping Weight:? 0.03 kg
Product Code: NOW-98070
UPC Code: 733739980700
Package Quantity: 1 Count
Dimensions: 19.8 x 9.4 x 0 cm , 0.02 kg",2 & 8,94 Ratings,102455,https://au.iherb.com/pr/Now-Foods-Face-Mask-Grey-S-M-1-Mask/102455
22,Kitsch,"Description
Made in China
Designed in Los Angeles
Elevated Versions of Your Everyday Basics
100% Vegan
Cruelty Free
Benefits
Soft cotton material
Washable  & reusable
Comfortable & easy to wear
One  size fits most
Suggested Use
How to Use:
Hold mask by ear-loops with printed side facing out
Place mask over nose & mouth & place one ear loop around the back of each ear
Pull bottom of mask under chin &  the top over the bridge of the nose
Wash  & sterilize the mask after each use
Care Instructions: 

This mask is not a replacement for PPE mask. Wash this mark after each use in a washing machine or with hot water and soap. For best practices, please follow the CDC guidelines.
Other Ingredients
Material Composition: 100% Cotton.
Warnings
Choking hazard. This product/packaging is not a toy. To avoid danger of suffocation, keep it away from babies & small children. Do not place it in cribs, beds, carriages or playpens.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.5,"Expiration Date:? January 2024
Date First Available: August 2020
Shipping Weight:? 0.21 kg
Product Code: KTC-02520
UPC Code: 819677025205
Package Quantity: 3 Count
Dimensions: 22.6 x 11.7 x 4.1 cm , 0.05 kg",0 & 0,134 Ratings,101691,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Blush-3-Pack/101691
23,Tony Moly,"Description
Made in China
KN95 Respirator Mask
Non-Medical, Personal Protection Only
Warnings
Wash your hands before use and dispose with care.
Do not use if the package is contaminated.
Do not wash.
Storage: 4º-100ºF, humidity <80%.
Expiry: 3 years from date of manufacture (see it on the bag).
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.4,"Expiration Date:? January 2024
Date First Available: June 2020
Shipping Weight:? 0.1 kg
Product Code: TMY-06000
UPC Code: 6973152060007
Package Quantity: 5 Count
Dimensions: 11.7 x 13.7 x 3.3 cm , 0.02 kg
Please Note: 
- According to a comparison chart by 3M, KN95 masks are the Chinese equivalent of N95.
- According to the latest test results by CDC, the filtration is 96.55~98.6.",5 & 22,179 Ratings,100541,https://au.iherb.com/pr/Tony-Moly-CTT-KN95-Respirator-Mask-5-Count/100541
24,Luseta Beauty,"Description
Made in China
All for Health Protection
Easy to Breath Through, Hi Filtration Capacity 
Effectively Against Bacteria,  Droplets, Odor and Dust
Ultra Fine Filter Material are Safer and More Reassured
 Environmental protection fine non-woven cloth by ultrasonic compound creates higher filtration capacity and healthier breathing.
Other Ingredients
Gauze, melt-blown fiber.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",3.4,"Expiration Date:? January 2024
Date First Available: May 2020
Shipping Weight:? 0.34 kg
Product Code: LBY-44036
UPC Code: 810041440365
Package Quantity: 50 Count
Dimensions: 19.1 x 10.2 x 8.9 cm , 0.18 kg",6 & 17,47 Ratings,100099,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100099
25,Luseta Beauty,"Description
Made in China
Helps Filter out Dust, Bacteria, Smoke
Easy to Breathe Through
Soft
Odorless
Non-irritating
Fiberglass Free
Other Ingredients
Gauze, melt-blown fiber.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",3.9,"Expiration Date:? January 2024
Date First Available: May 2020
Shipping Weight:? 0.35 kg
Product Code: LBY-44060
UPC Code: 810041440600
Package Quantity: 50 Count
Dimensions: 20.6 x 10.7 x 8.1 cm , 0.18 kg",3 & 13,50 Ratings,100234,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100234
26,Landsberg,"Description
Made in China
Non- Medical
3 Ply Protection
Disposable Protective Mask (Non-Medical).
Suggested Use
How to Use:
Pull and extend the mask with two hands and be sure the dark side is upward.
Hold the mask on the face and pull the ear loop behind the ear.
Press the nose clip to fit the shape of the nose and adjust the mask to feel as comfortable as possible.
Other Ingredients
This product is made of nose clip, mask belt, non-woven fabrics and melt brown fabrics.
Warnings
Note:
For the safety of your health, we highly recommend that you check production date and expiration date before use.
Do not use if package is damaged.
Do not use if allergic to  non-woven fabric.
For single use only, do not reuse.
Storage Conditions - Store in a place with relatively humidity less than 80%, ventilated and day, clean and free of harmful gases. Avoid high temperature.
Validity Period - 2 years.
Disclaimer
While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.
Visit Manufacturer's Website",4.1,"Expiration Date:? January 2025
Date First Available: June 2020
Shipping Weight:? 0.39 kg
Product Code: LBG-57000
UPC Code: 6973211570003
Package Quantity: 50 Count
Dimensions: 20.6 x 11.4 x 8.4 cm , 0.19 kg",2 & 10,50 Ratings,101029,https://au.iherb.com/pr/Landsberg-3-Ply-Disposable-Protective-Face-Mask-50-Pack/101029
